Abstract,Arxiv Link,Github Link,ID,Title
"  In order for machine learning to garner widespread public adoption, models
must be able to provide interpretable and robust explanations for their
decisions, as well as learn from human-provided explanations at train time. In
this work, we extend the Stanford Natural Language Inference dataset with an
additional layer of human-annotated natural language explanations of the
entailment relations. We further implement models that incorporate these
explanations into their training process and output them at test time. We show
how our corpus of explanations, which we call e-SNLI, can be used for various
goals, such as obtaining full sentence justifications of a model's decisions,
improving universal sentence representations and transferring to out-of-domain
NLI datasets. Our dataset thus opens up a range of research directions for
using natural language explanations, both for improving models and for
asserting their trust.
",http://arxiv.org/abs/1812.01193,github.com/OanaMariaCamburu/e-SNLI,1812.01193,e-SNLI: Natural Language Inference with Natural Language Explanations
"  Multi-emotion sentiment classification is a natural language processing (NLP)
problem with valuable use cases on real-world data. We demonstrate that
large-scale unsupervised language modeling combined with finetuning offers a
practical solution to this task on difficult datasets, including those with
label class imbalance and domain-specific context. By training an
attention-based Transformer network (Vaswani et al. 2017) on 40GB of text
(Amazon reviews) (McAuley et al. 2015) and fine-tuning on the training set, our
model achieves a 0.69 F1 score on the SemEval Task 1:E-c multi-dimensional
emotion classification problem (Mohammad et al. 2018), based on the Plutchik
wheel of emotions (Plutchik 1979). These results are competitive with state of
the art models, including strong F1 scores on difficult (emotion) categories
such as Fear (0.73), Disgust (0.77) and Anger (0.78), as well as competitive
results on rare categories such as Anticipation (0.42) and Surprise (0.37).
Furthermore, we demonstrate our application on a real world text classification
task. We create a narrowly collected text dataset of real tweets on several
topics, and show that our finetuned model outperforms general purpose
commercially available APIs for sentiment and multidimensional emotion
classification on this dataset by a significant margin. We also perform a
variety of additional studies, investigating properties of deep learning
architectures, datasets and algorithms for achieving practical multidimensional
sentiment classification. Overall, we find that unsupervised language modeling
and finetuning is a simple framework for achieving high quality results on
real-world sentiment classification.
",http://arxiv.org/abs/1812.01207,github.com/google/sentencepiece,1812.01207,Practical Text Classification With Large Pre-Trained Language Models
"  This paper describes the Tartan conversational agent built for the 2018 Alexa
Prize Competition. Tartan is a non-goal-oriented socialbot focused around
providing users with an engaging and fluent casual conversation. Tartan's key
features include an emphasis on structured conversation based on flexible
finite-state models and an approach focused on understanding and using
conversational acts. To provide engaging conversations, Tartan blends
script-like yet dynamic responses with data-based generative and retrieval
models. Unique to Tartan is that our dialog manager is modeled as a dynamic
Finite State Machine. To our knowledge, no other conversational agent
implementation has followed this specific structure.
",http://arxiv.org/abs/1812.01260,github.com/huggingface/neuralcoref,1812.01260,"Tartan: A retrieval-based socialbot powered by a dynamic finite-state
  machine architecture"
"  Zipf's law predicts a power-law relationship between word rank and frequency
in language communication systems and has been widely reported in a variety of
natural language processing applications. However, the emergence of natural
language is often modeled as a function of bias between speaker and listener
interests, which lacks a direct way of relating information-theoretic bias to
Zipfian rank. A function of bias also serves as an unintuitive interpretation
of the communicative effort exchanged between a speaker and a listener. We
counter these shortcomings by proposing a novel integral transform and kernel
for mapping communicative bias functions to corresponding word frequency-rank
representations at any arbitrary phase transition point, resulting in a direct
way to link communicative effort (modeled by speaker/listener bias) to specific
vocabulary used (represented by word rank). We demonstrate the practical
utility of our integral transform by showing how a change from bias to rank
results in greater accuracy and performance at an image classification task for
assigning word labels to images randomly subsampled from CIFAR10. We model this
task as a reinforcement learning game between a speaker and listener and
compare the relative impact of bias and Zipfian word rank on communicative
performance (and accuracy) between the two agents.
",http://arxiv.org/abs/1812.01431,github.com/Quiltomics/NLERL,1812.01431,"Modeling natural language emergence with integral transform theory and
  reinforcement learning"
"  Neural sequence models have achieved great success in sentence-level
sentiment classification. However, some models are exceptionally complex or
based on expensive features. Some other models recognize the value of existed
linguistic resource but utilize it insufficiently. This paper proposes a novel
and general method to incorporate lexicon information, including sentiment
lexicons(+/-), negation words and intensifiers. Words are annotated in
fine-grained and coarse-grained labels. The proposed method first encodes the
fine-grained labels into sentiment embedding and concatenates it with word
embedding. Second, the coarse-grained labels are utilized to enhance the
attention mechanism to give large weight on sentiment-related words.
Experimental results show that our method can increase classification accuracy
for neural sequence models on both SST-5 and MR dataset. Specifically, the
enhanced Bi-LSTM model can even compare with a Tree-LSTM which uses expensive
phrase-level annotations. Further analysis shows that in most cases the lexicon
resource can offer the right annotations. Besides, the proposed method is
capable of overcoming the effect from inevitably wrong annotations.
",http://arxiv.org/abs/1812.01527,github.com/zengyan-97/Sentiment-Lexicon,1812.01527,"Leveraging Multi-grained Sentiment Lexicon Information for Neural
  Sequence Models"
"  The presence of toxic content has become a major problem for many online
communities. Moderators try to limit this problem by implementing more and more
refined comment filters, but toxic users are constantly finding new ways to
circumvent them. Our hypothesis is that while modifying toxic content and
keywords to fool filters can be easy, hiding sentiment is harder. In this
paper, we explore various aspects of sentiment detection and their correlation
to toxicity, and use our results to implement a toxicity detection tool. We
then test how adding the sentiment information helps detect toxicity in three
different real-world datasets, and incorporate subversion to these datasets to
simulate a user trying to circumvent the system. Our results show sentiment
information has a positive impact on toxicity detection against a subversive
user.
",http://arxiv.org/abs/1812.01704,github.com/facebookresearch/fastText/blob/master /pretrained-vectors.md,1812.01704,"Impact of Sentiment Detection to Recognize Toxic and Subversive Online
  Comments"
"  We present MedSim, a novel semantic SIMilarity method based on public
well-established bio-MEDical knowledge graphs (KGs) and large-scale corpus, to
study the therapeutic substitution of antibiotics. Besides hierarchy and corpus
of KGs, MedSim further interprets medicine characteristics by constructing
multi-dimensional medicine-specific feature vectors. Dataset of 528 antibiotic
pairs scored by doctors is applied for evaluation and MedSim has produced
statistically significant improvement over other semantic similarity methods.
Furthermore, some promising applications of MedSim in drug substitution and
drug abuse prevention are presented in case study.
",http://arxiv.org/abs/1812.01884,github.com/YuanKQ/MedSim-antibiotics-labeled-dataset,1812.01884,"MedSim: A Novel Semantic Similarity Measure in Bio-medical Knowledge
  Graphs"
"  In this work we propose a novel method for supervised, keyshots based video
summarization by applying a conceptually simple and computationally efficient
soft, self-attention mechanism. Current state of the art methods leverage
bi-directional recurrent networks such as BiLSTM combined with attention. These
networks are complex to implement and computationally demanding compared to
fully connected networks. To that end we propose a simple, self-attention based
network for video summarization which performs the entire sequence to sequence
transformation in a single feed forward pass and single backward pass during
training. Our method sets a new state of the art results on two benchmarks
TvSum and SumMe, commonly used in this domain.
",http://arxiv.org/abs/1812.01969,github.com/ok1zjf/VASNet,1812.01969,Summarizing Videos with Attention
"  A growing number of applications users daily interact with have to operate in
(near) real-time: chatbots, digital companions, knowledge work support systems
-- just to name a few. To perform the services desired by the user, these
systems have to analyze user activity logs or explicit user input extremely
fast. In particular, text content (e.g. in form of text snippets) needs to be
processed in an information extraction task. Regarding the aforementioned
temporal requirements, this has to be accomplished in just a few milliseconds,
which limits the number of methods that can be applied. Practically, only very
fast methods remain, which on the other hand deliver worse results than slower
but more sophisticated Natural Language Processing (NLP) pipelines. In this
paper, we investigate and propose methods for real-time capable Named Entity
Recognition (NER). As a first improvement step we address are word variations
induced by inflection, for example present in the German language. Our approach
is ontology-based and makes use of several language information sources like
Wiktionary. We evaluated it using the German Wikipedia (about 9.4B characters),
for which the whole NER process took considerably less than an hour. Since
precision and recall are higher than with comparably fast methods, we conclude
that the quality gap between high speed methods and sophisticated NLP pipelines
can be narrowed a bit more without losing too much runtime performance.
",http://arxiv.org/abs/1812.02119,stanfordnlp.github.io/CoreNLP/,1812.02119,"Inflection-Tolerant Ontology-Based Named Entity Recognition for
  Real-Time Applications"
"  Motivated by recent evidence pointing out the fragility of high-performing
span prediction models, we direct our attention to multiple choice reading
comprehension. In particular, this work introduces a novel method for improving
answer selection on long documents through weighted global normalization of
predictions over portions of the documents. We show that applying our method to
a span prediction model adapted for answer selection helps model performance on
long summaries from NarrativeQA, a challenging reading comprehension dataset
with an answer selection task, and we strongly improve on the task baseline
performance by +36.2 Mean Reciprocal Rank.
",http://arxiv.org/abs/1812.02253,github.com/acl-org/acl-pub/issues/2,1812.02253,"Weighted Global Normalization for Multiple Choice ReadingComprehension
  over Long Documents"
"  In the past few years, neural abstractive text summarization with
sequence-to-sequence (seq2seq) models have gained a lot of popularity. Many
interesting techniques have been proposed to improve the seq2seq models, making
them capable of handling different challenges, such as saliency, fluency and
human readability, and generate high-quality summaries. Generally speaking,
most of these techniques differ in one of these three categories: network
structure, parameter inference, and decoding/generation. There are also other
concerns, such as efficiency and parallelism for training a model. In this
paper, we provide a comprehensive literature and technical survey on different
seq2seq models for abstractive text summarization from viewpoint of network
structures, training strategies, and summary generation algorithms. Many models
were first proposed for language modeling and generation tasks, such as machine
translation, and later applied to abstractive text summarization. Therefore, we
also provide a brief review of these models. As part of this survey, we also
develop an open source library, namely Neural Abstractive Text Summarizer
(NATS) toolkit, for the abstractive text summarization. An extensive set of
experiments have been conducted on the widely used CNN/Daily Mail dataset to
examine the effectiveness of several different neural network components.
Finally, we benchmark two models implemented in NATS on two recently released
datasets, i.e., Newsroom and Bytecup.
",http://arxiv.org/abs/1812.02303,github.com/tshi04/NATS,1812.02303,Neural Abstractive Text Summarization with Sequence-to-Sequence Models
"  Sentiment analysis (SA) is a task related to understanding people's feelings
in written text; the starting point would be to identify the polarity level
(positive, neutral or negative) of a given text, moving on to identify emotions
or whether a text is humorous or not. This task has been the subject of several
research competitions in a number of languages, e.g., English, Spanish, and
Arabic, among others. In this contribution, we propose an SA system, namely
EvoMSA, that unifies our participating systems in various SA competitions,
making it domain independent and multilingual by processing text using only
language-independent techniques. EvoMSA is a classifier, based on Genetic
Programming, that works by combining the output of different text classifiers
and text models to produce the final prediction. We analyze EvoMSA, with its
parameters fixed, on different SA competitions to provide a global overview of
its performance, and as the results show, EvoMSA is competitive obtaining top
rankings in several SA competitions. Furthermore, we performed an analysis of
EvoMSA's components to measure their contribution to the performance; the idea
is to facilitate a practitioner or newcomer to implement a competitive SA
classifier. Finally, it is worth to mention that EvoMSA is available as open
source software.
",http://arxiv.org/abs/1812.02307,github.com/INGEOTEC/EvoMSA,1812.02307,EvoMSA: A Multilingual Evolutionary Approach for Sentiment Analysis
"  Answer selection and knowledge base question answering (KBQA) are two
important tasks of question answering (QA) systems. Existing methods solve
these two tasks separately, which requires large number of repetitive work and
neglects the rich correlation information between tasks. In this paper, we
tackle answer selection and KBQA tasks simultaneously via multi-task learning
(MTL), motivated by the following motivations. First, both answer selection and
KBQA can be regarded as a ranking problem, with one at text-level while the
other at knowledge-level. Second, these two tasks can benefit each other:
answer selection can incorporate the external knowledge from knowledge base
(KB), while KBQA can be improved by learning contextual information from answer
selection. To fulfill the goal of jointly learning these two tasks, we propose
a novel multi-task learning scheme that utilizes multi-view attention learned
from various perspectives to enable these tasks to interact with each other as
well as learn more comprehensive sentence representations. The experiments
conducted on several real-world datasets demonstrate the effectiveness of the
proposed method, and the performance of answer selection and KBQA is improved.
Also, the multi-view attention scheme is proved to be effective in assembling
attentive information from different representational perspectives.
",http://arxiv.org/abs/1812.02354,github.com/thunlp/OpenKE,1812.02354,"Multi-Task Learning with Multi-View Attention for Answer Selection and
  Knowledge Base Question Answering"
"  This paper describes the USTC-NEL system to the speech translation task of
the IWSLT Evaluation 2018. The system is a conventional pipeline system which
contains 3 modules: speech recognition, post-processing and machine
translation. We train a group of hybrid-HMM models for our speech recognition,
and for machine translation we train transformer based neural machine
translation models with speech recognition output style text as input.
Experiments conducted on the IWSLT 2018 task indicate that, compared to
baseline system from KIT, our system achieved 14.9 BLEU improvement.
",http://arxiv.org/abs/1812.02455,github.com/jniehues-kit/SLT.KIT,1812.02455,The USTC-NEL Speech Translation system at IWSLT 2018
"  The task of answering natural language questions over knowledge bases has
received wide attention in recent years. Various deep learning architectures
have been proposed for this task. However, architectural design choices are
typically not systematically compared nor evaluated under the same conditions.
In this paper, we contribute to a better understanding of the impact of
architectural design choices by evaluating four different architectures under
the same conditions. We address the task of answering simple questions,
consisting in predicting the subject and predicate of a triple given a
question. In order to provide a fair comparison of different architectures, we
evaluate them under the same strategy for inferring the subject, and compare
different architectures for inferring the predicate. The architecture for
inferring the subject is based on a standard LSTM model trained to recognize
the span of the subject in the question and on a linking component that links
the subject span to an entity in the knowledge base. The architectures for
predicate inference are based on i) a standard softmax classifier ranging over
all predicates as output, iii) a model that predicts a low-dimensional encoding
of the property given entity representation and question, iii) a model that
learns to score a pair of subject and predicate given the question as well as
iv) a model based on the well-known FastText model. The comparison of
architectures shows that FastText provides better results than other
architectures.
",http://arxiv.org/abs/1812.02536,github.com/kamalkraj/Named-Entity-Recognition-with-Bidirectional-LSTM-CNNs,1812.02536,"Evaluating Architectural Choices for Deep Learning Approaches for
  Question Answering over Knowledge Bases"
"  Machine learning (ML) and Natural Language Processing (NLP) have achieved
remarkable success in many fields and have brought new opportunities and high
expectation in the analyses of medical data. The most common type of medical
data is the massive free-text electronic medical records (EMR). It is widely
regarded that mining such massive data can bring up important information for
improving medical practices as well as for possible new discoveries on complex
diseases. However, the free EMR texts are lacking consistent standards, rich of
private information, and limited in availability. Also, as they are accumulated
from everyday practices, it is often hard to have a balanced number of samples
for the types of diseases under study. These problems hinder the development of
ML and NLP methods for EMR data analysis. To tackle these problems, we
developed a model to generate synthetic text of EMRs called Medical Text
Generative Adversarial Network or mtGAN. It is based on the GAN framework and
is trained by the REINFORCE algorithm. It takes disease features as inputs and
generates synthetic texts as EMRs for the corresponding diseases. We evaluate
the model from micro-level, macro-level and application-level on a Chinese EMR
text dataset. The results show that the method has a good capacity to fit real
data and can generate realistic and diverse EMR samples. This provides a novel
way to avoid potential leakage of patient privacy while still supply sufficient
well-controlled cohort data for developing downstream ML and NLP methods. It
can also be used as a data augmentation method to assist studies based on real
EMR data.
",http://arxiv.org/abs/1812.02793,github.com/fxsjy/jieba,1812.02793,Generation of Synthetic Electronic Medical Record Text
"  We present a system for keyword spotting that, except for a frontend
component for feature generation, it is entirely contained in a deep neural
network (DNN) model trained ""end-to-end"" to predict the presence of the keyword
in a stream of audio. The main contributions of this work are, first, an
efficient memoized neural network topology that aims at making better use of
the parameters and associated computations in the DNN by holding a memory of
previous activations distributed over the depth of the DNN. The second
contribution is a method to train the DNN, end-to-end, to produce the keyword
spotting score. This system significantly outperforms previous approaches both
in terms of quality of detection as well as size and computation.
",http://arxiv.org/abs/1812.02802,github.com/tensorflow/tensorflow/blob/master/tensorflow/contrib/lite/kernels/svdf.cc,1812.02802,End-to-End Streaming Keyword Spotting
"  Popularity is a critical success factor for a politician and her/his party to
win in elections and implement their plans. Finding the reasons behind the
popularity can provide a stable political movement. This research attempts to
measure popularity in Twitter using a mixed method. In recent years, Twitter
data has provided an excellent opportunity for exploring public opinions by
analyzing a large number of tweets. This study has collected and examined 4.5
million tweets related to a US politician, Senator Bernie Sanders. This study
investigated eight economic reasons behind the senator's popularity in Twitter.
This research has benefits for politicians, informatics experts, and
policymakers to explore public opinion. The collected data will also be
available for further investigation.
",http://arxiv.org/abs/1812.03258,github.com/amir-karami/Sanders-Tweets-Data,1812.03258,Political Popularity Analysis in Social Media
"  The performance of adversarial dialogue generation models relies on the
quality of the reward signal produced by the discriminator. The reward signal
from a poor discriminator can be very sparse and unstable, which may lead the
generator to fall into a local optimum or to produce nonsense replies. To
alleviate the first problem, we first extend a recently proposed adversarial
dialogue generation method to an adversarial imitation learning solution. Then,
in the framework of adversarial inverse reinforcement learning, we propose a
new reward model for dialogue generation that can provide a more accurate and
precise reward signal for generator training. We evaluate the performance of
the resulting model with automatic metrics and human evaluations in two
annotation settings. Our experimental results demonstrate that our model can
generate more high-quality responses and achieve higher overall performance
than the state-of-the-art.
",http://arxiv.org/abs/1812.03509,github.com/julianser/hed-dlg-truncated,1812.03509,"Dialogue Generation: From Imitation Learning to Inverse Reinforcement
  Learning"
"  Conversational question answering (CQA) is a novel QA task that requires
understanding of dialogue context. Different from traditional single-turn
machine reading comprehension (MRC) tasks, CQA includes passage comprehension,
coreference resolution, and contextual understanding. In this paper, we propose
an innovated contextualized attention-based deep neural network, SDNet, to fuse
context into traditional MRC models. Our model leverages both inter-attention
and self-attention to comprehend conversation context and extract relevant
information from passage. Furthermore, we demonstrated a novel method to
integrate the latest BERT contextual model. Empirical results show the
effectiveness of our model, which sets the new state of the art result in CoQA
leaderboard, outperforming the previous best model by 1.6% F1. Our ensemble
model further improves the result by 2.7% F1.
",http://arxiv.org/abs/1812.03593,github.com/goodfeli/dlbook_notation.,1812.03593,"SDNet: Contextualized Attention-based Deep Network for Conversational
  Question Answering"
"  In this paper we introduce Chat-crowd, an interactive environment for visual
layout composition via conversational interactions. Chat-crowd supports
multiple agents with two conversational roles: agents who play the role of a
designer are in charge of placing objects in an editable canvas according to
instructions or commands issued by agents with a director role. The system can
be integrated with crowdsourcing platforms for both synchronous and
asynchronous data collection and is equipped with comprehensive quality
controls on the performance of both types of agents. We expect that this system
will be useful to build multimodal goal-oriented dialog tasks that require
spatial and geometric reasoning.
",http://arxiv.org/abs/1812.04081,github.com/acl-org/acl-pub/issues/2,1812.04081,Chat-crowd: A Dialog-based Platform for Visual Layout Composition
"  Learning from corpus and learning from supervised NLP tasks both give useful
semantics that can be incorporated into a good word representation. We propose
an embedding learning method called Delta Embedding Learning, to learn semantic
information from high-level supervised tasks like reading comprehension, and
combine it with an unsupervised word embedding. The simple technique not only
improved the performance of various supervised NLP tasks, but also
simultaneously learns improved universal word embeddings out of these tasks.
",http://arxiv.org/abs/1812.04160,github.com/acl-org/acl-pub/issues/2,1812.04160,Delta Embedding Learning
"  In this paper, we provide a theoretical understanding of word embedding and
its dimensionality. Motivated by the unitary-invariance of word embedding, we
propose the Pairwise Inner Product (PIP) loss, a novel metric on the
dissimilarity between word embeddings. Using techniques from matrix
perturbation theory, we reveal a fundamental bias-variance trade-off in
dimensionality selection for word embeddings. This bias-variance trade-off
sheds light on many empirical observations which were previously unexplained,
for example the existence of an optimal dimensionality. Moreover, new insights
and discoveries, like when and how word embeddings are robust to over-fitting,
are revealed. By optimizing over the bias-variance trade-off of the PIP loss,
we can explicitly answer the open question of dimensionality selection for word
embedding.
",http://arxiv.org/abs/1812.04224,github.com/stanfordnlp/GloV,1812.04224,On the Dimensionality of Word Embedding
"  Distantly-supervised Relation Extraction (RE) methods train an extractor by
automatically aligning relation instances in a Knowledge Base (KB) with
unstructured text. In addition to relation instances, KBs often contain other
relevant side information, such as aliases of relations (e.g., founded and
co-founded are aliases for the relation founderOfCompany). RE models usually
ignore such readily available side information. In this paper, we propose
RESIDE, a distantly-supervised neural relation extraction method which utilizes
additional side information from KBs for improved relation extraction. It uses
entity type and relation alias information for imposing soft constraints while
predicting relations. RESIDE employs Graph Convolution Networks (GCN) to encode
syntactic information from text and improves performance even when limited side
information is available. Through extensive experiments on benchmark datasets,
we demonstrate RESIDE's effectiveness. We have made RESIDE's source code
available to encourage reproducible research.
",http://arxiv.org/abs/1812.04361,github.com/malllabiisc/RESIDE,1812.04361,"RESIDE: Improving Distantly-Supervised Neural Relation Extraction using
  Side Information"
